309  	姓名： 李同学 	专业： 经济学院　　　　　　　　	愿望： "求大佬指导商业计划书答辩需要准备什么"
947  	姓名： 林同学 	专业： 管理学院　　　　　　　　	愿望： "想要吃KFC的蓝莓冰淇淋~🍦"
2544 	姓名： 金同学 	专业： 政治与行政学院　　　　　	愿望： "想知道武汉除了欢乐谷之外的好玩的惊险刺激的地方!还想要一份手写的贺卡，希望能鼓励我找到合适的路并坚定地精彩地走下去!"
714  	姓名： 欧同学 	专业： 外国语学院　　　　　　　	愿望： "Coco的香芋青稞牛奶！"
4208 	姓名： 焦同学 	专业： 经济学院　　　　　　　　	愿望： "有可以一起练习日语口语的伙伴吗  想了日语但是没有什么机会练口语"
4675 	姓名： 白同学 	专业： 政治与行政学院　　　　　	愿望： "英语口语尬聊"
1148 	姓名： 魏同学 	专业： 管理学院　　　　　　　　	愿望： "想要我的李先生的一个惊喜"
3129 	姓名： 张同学 	专业： 材料科学与工程学院　　　	愿望： "拜托你们带我打下王者吧，几个月没玩钻石都死活上不去了自闭辽"
4921 	姓名： 曾同学 	专业： 化学化工与生命科学学院　	愿望： "想吃甜甜的糖和有大颗草莓的酸奶"
5029 	姓名： 孟同学 	专业： 资源与环境工程学院　　　	愿望： "有一点点想喝一点点"
4668 	姓名： 王同学 	专业： 计算机科学与技术学院　　	愿望： "看见heaven"
4651 	姓名： 黄同学 	专业： 外国语学院　　　　　　　	愿望： "想听个暖暖的故事（不要狗粮嗯）"
307  	姓名： 吴同学 	专业： 艺术与设计学院　　　　　	愿望： "想学轮滑，轮滑鞋一年前就准备好了hhh封印中…"
4512 	姓名： 张同学 	专业： 计算机科学与技术学院　　	愿望： "想要一个可以一起看东宫的剧友"
1016 	姓名： 宁同学 	专业： 自动化学院　　　　　　　	愿望： "想让武汉的三月和四月没有那么多雨 希望心情也会好"
3854 	姓名： 曹同学 	专业： 交通学院　　　　　　　　	愿望： "德芙德芙，快到我的嘴里来"
4963 	姓名： 张同学 	专业： 政治与行政学院　　　　　	愿望： "想要一起看书 新教伦理与资本主义精神 这样的 哈哈哈哈"
4661 	姓名： 李同学 	专业： 土木工程与建筑学院　　　	愿望： "把我舍友带走 让她脱单！"
5176 	姓名： 孙同学 	专业： 经济学院　　　　　　　　	愿望： "想找个大三的研友，不用见面，每天汇报进度就可以～最好不是经管的～"
2426 	姓名： 吴同学 	专业： 管理学院　　　　　　　　	愿望： "想听一个声音低沉如大提琴的男孩儿唱一首王晰的歌"
4480 	姓名： 蔡同学 	专业： 计算机科学与技术学院　　	愿望： "有没有磕恋梦空间龙羊cp的呀有没有想看《恋爱的犀牛》的呀"
4825 	姓名： 侯同学 	专业： 外国语学院　　　　　　　	愿望： "希望有一个人夸我，可劲儿夸，华丽的措辞中还要透着真诚，嘻嘻"
3397 	姓名： 宋同学 	专业： 物流工程学院　　　　　　	愿望： "想听你唱你最爱的一首歌"
2404 	姓名： 陈同学 	专业： 计算机科学与技术学院　　	愿望： "找个大佬带我健身，升升的"
3688 	姓名： 陈同学 	专业： 土木工程与建筑学院　　　	愿望： "想要一只口红，作为收藏品🙋"
5068 	姓名： 邓同学 	专业： 外国语学院　　　　　　　	愿望： "有人缺步道乐跑的伙伴嘛 就是 站在原地等你帮你拿东西的那种🙊"
4546 	姓名： 张同学 	专业： 文法学院　　　　　　　　	愿望： "单单许个愿8 希望武理广告系得到重视 大家大广赛加油！"
5111 	姓名： 万同学 	专业： 交通学院　　　　　　　　	愿望： "hey bro 刚游戏完 可以许愿 来逛一圈～"
99   	姓名： 李同学 	专业： 管理学院　　　　　　　　	愿望： "我是真的超级超级喜欢吃车厘子呀(●'◡'●)ﾉ❤  虽然它很贵但还是常常回味它的味道(´ . .̫ . `)"
2119 	姓名： 刘同学 	专业： 材料科学与工程学院　　　	愿望： "想要一斤苹果"
3612 	姓名： 胡同学 	专业： 理学院　　　　　　　　　	愿望： "想要3盒原味的薯片"
4719 	姓名： 齐同学 	专业： 化学化工与生命科学学院　	愿望： "想要一颗最大的车厘子"
3199 	姓名： 陈同学 	专业： 交通学院　　　　　　　　	愿望： "可以清购物车吗～嘻嘻嘻"
3033 	姓名： 肖同学 	专业： 政治与行政学院　　　　　	愿望： "教我学法"
4701 	姓名： 伍同学 	专业： 文法学院　　　　　　　　	愿望： "想拥有一杯18块钱的珍珠和2块钱的奶的饮料"
3322 	姓名： 刘同学 	专业： 管理学院　　　　　　　　	愿望： "想要有人一起去吃樱花冰淇淋"
4879 	姓名： 宁同学 	专业： 外国语学院　　　　　　　	愿望： "想要一盒彩色发夹"
3752 	姓名： 张同学 	专业： 物流工程学院　　　　　　	愿望： "想遇见一个自己喜欢的人"
4891 	姓名： 邹同学 	专业： 外国语学院　　　　　　　	愿望： "想要晚上下课9:30回到升升可以收到一袋橙子🍊！"
4677 	姓名： 陈同学 	专业： 政治与行政学院　　　　　	愿望： "希望有老法师教我摄影☺️"
